,iso_code,country,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,daily_vaccinations_raw,daily_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,daily_vaccinations_per_million,vaccine_id,vaccine_names,source_id,source_name,source_website
2357,BLR,Belarus,4/2/2021,0,0,0,0,3677,0.0,0.0,0.0,389,"['V002', 'V017']","['BBIBP-CorV', 'Sputnik V']",S001,World Health Organization,https://covid19.who.int/
2358,BLR,Belarus,4/20/2021,0,0,0,0,15029,0.0,0.0,0.0,1590,"['V002', 'V017']","['BBIBP-CorV', 'Sputnik V']",S001,World Health Organization,https://covid19.who.int/
2359,BLR,Belarus,4/21/2021,0,0,0,0,15029,0.0,0.0,0.0,1590,"['V002', 'V017']","['BBIBP-CorV', 'Sputnik V']",S001,World Health Organization,https://covid19.who.int/
2360,BLR,Belarus,4/22/2021,0,0,0,0,15029,0.0,0.0,0.0,1590,"['V002', 'V017']","['BBIBP-CorV', 'Sputnik V']",S001,World Health Organization,https://covid19.who.int/
2361,BLR,Belarus,4/23/2021,328500,244000,84500,0,15029,3.48,2.58,0.89,1590,"['V002', 'V017']","['BBIBP-CorV', 'Sputnik V']",S001,World Health Organization,https://covid19.who.int/
2362,BLR,Belarus,4/24/2021,0,0,0,0,14121,0.0,0.0,0.0,1494,"['V002', 'V017']","['BBIBP-CorV', 'Sputnik V']",S001,World Health Organization,https://covid19.who.int/
2363,BLR,Belarus,4/25/2021,0,0,0,0,13214,0.0,0.0,0.0,1398,"['V002', 'V017']","['BBIBP-CorV', 'Sputnik V']",S001,World Health Organization,https://covid19.who.int/
2364,BLR,Belarus,4/26/2021,0,0,0,0,12307,0.0,0.0,0.0,1302,"['V002', 'V017']","['BBIBP-CorV', 'Sputnik V']",S001,World Health Organization,https://covid19.who.int/
2365,BLR,Belarus,4/27/2021,0,0,0,0,11400,0.0,0.0,0.0,1206,"['V002', 'V017']","['BBIBP-CorV', 'Sputnik V']",S001,World Health Organization,https://covid19.who.int/
2366,BLR,Belarus,4/28/2021,0,0,0,0,10493,0.0,0.0,0.0,1110,"['V002', 'V017']","['BBIBP-CorV', 'Sputnik V']",S001,World Health Organization,https://covid19.who.int/
2367,BLR,Belarus,4/29/2021,0,0,0,0,9586,0.0,0.0,0.0,1014,"['V002', 'V017']","['BBIBP-CorV', 'Sputnik V']",S001,World Health Organization,https://covid19.who.int/
